pair_id,url_a,url_b,page_type_a,page_type_b,locale,cluster_a,cluster_b,tool_slug_a,tool_slug_b,raw_main_similarity,boilerplate_adjusted_similarity,original_same_search_intent,intent_relationship,functional_equivalence,merge_confidence,merge_reason
235,https://funnytools.win/fr/outils/extraire-pages-pdf/,https://funnytools.win/fr/outils/supprimer-pages-pdf/,tool,tool,fr,pdf,pdf,extract-pdf-pages,delete-pdf-pages,0.823,0.815,yes,DIFFERENT,NO,LOW,document operation outcome differs even when source format overlaps
236,https://funnytools.win/guides/classroom-lottery-tool-guide/,https://funnytools.win/tools/random-name-picker/,guide,tool,zh-TW,random,random,,random-name-picker,0.823,0.645,yes,COMPLEMENTARY,NO,LOW,tool is DO intent; guide is LEARN intent; keep both by default
237,https://funnytools.win/guides/classroom-random-picker-guide/,https://funnytools.win/tools/random-student-picker/,guide,tool,zh-TW,random,study,,random-student-picker,0.823,0.618,no,COMPLEMENTARY,NO,LOW,tool is DO intent; guide is LEARN intent; keep both by default
238,https://funnytools.win/es/aviso-legal/,https://funnytools.win/es/flujos/,other,hub,es,general,drawing,,,0.822,0.809,no,UNKNOWN,UNKNOWN,LOW,page roles cannot be deterministically compared
239,https://funnytools.win/es/categorias/estudio/,https://funnytools.win/es/para/oficina/,category,audience,es,study,office-workers,,,0.822,0.815,no,UNKNOWN,UNKNOWN,LOW,page roles cannot be deterministically compared
240,https://funnytools.win/es/guias/,https://funnytools.win/es/para/oficina/,hub,audience,es,general,office-workers,,,0.822,0.805,no,UNKNOWN,UNKNOWN,LOW,page roles cannot be deterministically compared
241,https://funnytools.win/fr/outils/tirage-au-sort-eleves/,https://funnytools.win/fr/outils/tirage-au-sort-noms/,tool,tool,fr,study,random,random-student-picker,random-name-picker,0.822,0.825,no,DIFFERENT,NO,LOW,different functional category
242,https://funnytools.win/guides/merge-pdf-reading-order-checklist-guide/,https://funnytools.win/tools/merge-pdf/,guide,tool,zh-TW,pdf,pdf,,merge-pdf,0.822,0.659,yes,COMPLEMENTARY,NO,LOW,tool is DO intent; guide is LEARN intent; keep both by default
243,https://funnytools.win/category/statistics/,https://funnytools.win/tools/standard-deviation/,category,tool,zh-TW,statistics,statistics,,standard-deviation,0.821,0.740,yes,ADJACENT,UNKNOWN,LOW,topic-adjacent pages with different page roles
244,https://funnytools.win/es/aviso-legal/,https://funnytools.win/es/guias/,other,hub,es,general,general,,,0.821,0.806,yes,ADJACENT,UNKNOWN,LOW,topic-adjacent pages with different page roles
245,https://funnytools.win/tools/image-resizer/,https://funnytools.win/tools/jpg-to-png/,tool,tool,zh-TW,image,image,image-resizer,jpg-to-png,0.821,0.605,yes,ADJACENT,NO,LOW,related topic but functional input/computation/output differs
246,https://funnytools.win/en/tools/group-generator/,https://funnytools.win/en/tools/random-group-generator/,tool,tool,en,study,random,group-generator,random-group-generator,0.820,0.593,no,DIFFERENT,NO,LOW,different functional category
247,https://funnytools.win/es/como-funcionan-las-herramientas/,https://funnytools.win/es/condiciones-de-uso/,legal,legal,es,general,general,,,0.820,0.819,yes,ADJACENT,UNKNOWN,LOW,topic-adjacent pages with different page roles
248,https://funnytools.win/es/guias/comprimir-fotos-para-email/,https://funnytools.win/es/guias/fotos-a-pdf-desde-movil/,guide,guide,es,image,pdf,,,0.820,0.807,no,DIFFERENT,NO,LOW,different learning topic
249,https://funnytools.win/es/guias/,https://funnytools.win/es/para/estudiantes/,hub,audience,es,general,students,,,0.820,0.773,no,UNKNOWN,UNKNOWN,LOW,page roles cannot be deterministically compared
250,https://funnytools.win/guides/classroom-random-group-no-repeat-guide/,https://funnytools.win/guides/classroom-random-group-size-balance-guide/,guide,guide,zh-TW,random,random,,,0.820,0.710,yes,ADJACENT,NO,LOW,related learning topics; answer role may differ
251,https://funnytools.win/tools/percentile-rank-calculator/,https://funnytools.win/tools/t-score-calculator/,tool,tool,zh-TW,statistics,statistics,percentile-rank-calculator,t-score-calculator,0.820,0.596,yes,ADJACENT,NO,LOW,related topic but functional input/computation/output differs
252,https://funnytools.win/tools/random-student-picker/,https://funnytools.win/workflows/teacher-classroom-random-toolkit/,tool,workflow,zh-TW,study,random,random-student-picker,,0.820,0.528,no,UNKNOWN,UNKNOWN,LOW,page roles cannot be deterministically compared
253,https://funnytools.win/category/statistics/,https://funnytools.win/tools/weighted-average-calculator/,category,tool,zh-TW,statistics,statistics,,weighted-average-calculator,0.819,0.654,yes,ADJACENT,UNKNOWN,LOW,topic-adjacent pages with different page roles
254,https://funnytools.win/es/categorias/imagen/,https://funnytools.win/es/herramientas/comprimir-imagenes/,category,tool,es,image,image,,image-compressor,0.819,0.808,yes,ADJACENT,UNKNOWN,LOW,topic-adjacent pages with different page roles
255,https://funnytools.win/es/estadisticas-educativas/,https://funnytools.win/es/flujos/,other,hub,es,statistics,drawing,,,0.819,0.789,no,UNKNOWN,UNKNOWN,LOW,page roles cannot be deterministically compared
256,https://funnytools.win/es/flujos/informe-estadistico-investigacion/,https://funnytools.win/es/guias/prueba-t-formato-apa-7/,workflow,guide,es,statistics,general,,,0.819,0.804,no,UNKNOWN,UNKNOWN,LOW,page roles cannot be deterministically compared
257,https://funnytools.win/es/guias/codigos-qr-en-el-aula/,https://funnytools.win/es/herramientas/generador-codigo-qr/,guide,tool,es,general,image,,qr-code-generator,0.819,0.825,no,COMPLEMENTARY,NO,LOW,tool is DO intent; guide is LEARN intent; keep both by default
258,https://funnytools.win/es/herramientas/convertir-jpg-a-webp/,https://funnytools.win/es/herramientas/convertir-png-a-jpg/,tool,tool,es,image,image,jpg-to-webp,png-to-jpg,0.819,0.807,yes,DIFFERENT,NO,LOW,directional converter inputs/outputs differ
259,https://funnytools.win/es/herramientas/extraer-paginas-pdf/,https://funnytools.win/es/herramientas/ordenar-paginas-pdf/,tool,tool,es,pdf,pdf,extract-pdf-pages,pdf-page-reorder,0.819,0.815,yes,DIFFERENT,NO,LOW,document operation outcome differs even when source format overlaps
260,https://funnytools.win/es/flujos/,https://funnytools.win/es/para/docentes/,hub,audience,es,drawing,teachers,,,0.818,0.773,no,UNKNOWN,UNKNOWN,LOW,page roles cannot be deterministically compared
261,https://funnytools.win/guides/percentile-rank-guide/,https://funnytools.win/tools/percentile-rank-calculator/,guide,tool,zh-TW,statistics,statistics,,percentile-rank-calculator,0.818,0.663,yes,COMPLEMENTARY,NO,LOW,tool is DO intent; guide is LEARN intent; keep both by default
262,https://funnytools.win/tools/delete-pdf-pages/,https://funnytools.win/tools/split-pdf/,tool,tool,zh-TW,pdf,pdf,delete-pdf-pages,split-pdf,0.818,0.686,yes,DIFFERENT,NO,LOW,document operation outcome differs even when source format overlaps
263,https://funnytools.win/es/aviso-legal/,https://funnytools.win/es/categorias/azar/,other,category,es,general,random,,,0.817,0.807,no,UNKNOWN,UNKNOWN,LOW,page roles cannot be deterministically compared
264,https://funnytools.win/fr/outils/minuteur-en-ligne/,https://funnytools.win/fr/outils/rappel-pause-ecran/,tool,tool,fr,time,time,countdown-timer,break-reminder,0.817,0.811,yes,ADJACENT,NO,LOW,related topic but functional input/computation/output differs
265,https://funnytools.win/guides/chinese-english-mixed-word-count-guide/,https://funnytools.win/guides/word-count-vs-character-count-guide/,guide,guide,zh-TW,text,text,,,0.817,0.819,yes,ADJACENT,NO,LOW,related learning topics; answer role may differ
266,https://funnytools.win/guides/split-pdf-page-range-planning-guide/,https://funnytools.win/tools/extract-pdf-pages/,guide,tool,zh-TW,pdf,pdf,,extract-pdf-pages,0.817,0.689,yes,COMPLEMENTARY,NO,LOW,tool is DO intent; guide is LEARN intent; keep both by default
267,https://funnytools.win/category/text/,https://funnytools.win/tools/case-converter/,category,tool,zh-TW,text,text,,case-converter,0.816,0.595,yes,ADJACENT,UNKNOWN,LOW,topic-adjacent pages with different page roles
268,https://funnytools.win/es/como-funcionan-las-herramientas/,https://funnytools.win/es/privacidad/,legal,legal,es,general,general,,,0.816,0.822,yes,ADJACENT,UNKNOWN,LOW,topic-adjacent pages with different page roles
269,https://funnytools.win/es/flujos/decisiones-cotidianas/,https://funnytools.win/es/guias/ruleta-sorteos-clase/,workflow,guide,es,general,random,,,0.816,0.812,no,UNKNOWN,UNKNOWN,LOW,page roles cannot be deterministically compared
270,https://funnytools.win/es/guias/codigos-qr-en-el-aula/,https://funnytools.win/es/para/creadores/,guide,audience,es,general,creators,,,0.816,0.809,no,UNKNOWN,UNKNOWN,LOW,page roles cannot be deterministically compared
271,https://funnytools.win/es/guias/grafico-barras-trabajo-escolar/,https://funnytools.win/es/herramientas/crear-grafico-barras/,guide,tool,es,drawing,draw,,bar-chart-maker,0.816,0.815,no,COMPLEMENTARY,NO,LOW,tool is DO intent; guide is LEARN intent; keep both by default
272,https://funnytools.win/es/guias/ruleta-sorteos-clase/,https://funnytools.win/es/guias/selector-aleatorio-alumnos/,guide,guide,es,random,random,,,0.816,0.798,yes,ADJACENT,NO,LOW,related learning topics; answer role may differ
273,https://funnytools.win/es/herramientas/dividir-pdf/,https://funnytools.win/es/herramientas/unir-pdf/,tool,tool,es,pdf,pdf,split-pdf,merge-pdf,0.816,0.819,yes,DIFFERENT,NO,LOW,document operation outcome differs even when source format overlaps
274,https://funnytools.win/guides/classroom-random-group-shareable-result-guide/,https://funnytools.win/guides/classroom-random-group-size-balance-guide/,guide,guide,zh-TW,random,random,,,0.816,0.651,yes,ADJACENT,NO,LOW,related learning topics; answer role may differ
275,https://funnytools.win/tools/extract-pdf-pages/,https://funnytools.win/tools/pdf-to-image/,tool,tool,zh-TW,pdf,pdf,extract-pdf-pages,pdf-to-image,0.816,0.662,yes,DIFFERENT,NO,LOW,document operation outcome differs even when source format overlaps
276,https://funnytools.win/es/herramientas/convertir-jpg-a-png/,https://funnytools.win/es/herramientas/convertir-webp-a-jpg/,tool,tool,es,image,image,jpg-to-png,webp-to-jpg,0.815,0.801,yes,DIFFERENT,NO,LOW,directional converter inputs/outputs differ
277,https://funnytools.win/guides/classroom-lottery-tool-guide/,https://funnytools.win/workflows/teacher-classroom-random-toolkit/,guide,workflow,zh-TW,random,random,,,0.815,0.599,yes,ADJACENT,UNKNOWN,LOW,topic-adjacent pages with different page roles
278,https://funnytools.win/tools/apa-7-report-generator/,https://funnytools.win/tools/independent-samples-t-test-calculator/,tool,tool,zh-TW,statistics,statistics,apa-7-report-generator,independent-samples-t-test-calculator,0.815,0.568,yes,ADJACENT,NO,LOW,related topic but functional input/computation/output differs
279,https://funnytools.win/tools/standard-deviation/,https://funnytools.win/tools/t-score-calculator/,tool,tool,zh-TW,statistics,statistics,standard-deviation,t-score-calculator,0.815,0.651,yes,ADJACENT,NO,LOW,related topic but functional input/computation/output differs
280,https://funnytools.win/category/study/,https://funnytools.win/tools/group-generator/,category,tool,zh-TW,study,study,,group-generator,0.814,0.693,yes,ADJACENT,UNKNOWN,LOW,topic-adjacent pages with different page roles
281,https://funnytools.win/es/aviso-legal/,https://funnytools.win/es/categorias/estadistica/,other,category,es,general,statistics,,,0.814,0.798,no,UNKNOWN,UNKNOWN,LOW,page roles cannot be deterministically compared
282,https://funnytools.win/es/categorias/imagen/,https://funnytools.win/es/para/creadores/,category,audience,es,image,creators,,,0.814,0.775,no,UNKNOWN,UNKNOWN,LOW,page roles cannot be deterministically compared
283,https://funnytools.win/es/condiciones-de-uso/,https://funnytools.win/es/contacto/,legal,legal,es,general,general,,,0.814,0.812,yes,ADJACENT,UNKNOWN,LOW,topic-adjacent pages with different page roles
284,https://funnytools.win/es/guias/unir-pdf-sin-subir-archivos/,https://funnytools.win/es/para/oficina/,guide,audience,es,pdf,office-workers,,,0.814,0.805,no,UNKNOWN,UNKNOWN,LOW,page roles cannot be deterministically compared
285,https://funnytools.win/es/herramientas/eliminar-paginas-pdf/,https://funnytools.win/es/herramientas/ordenar-paginas-pdf/,tool,tool,es,pdf,pdf,delete-pdf-pages,pdf-page-reorder,0.814,0.818,yes,DIFFERENT,NO,LOW,document operation outcome differs even when source format overlaps
286,https://funnytools.win/guides/image-resampling-quality-guide/,https://funnytools.win/guides/image-resize-aspect-ratio-guide/,guide,guide,zh-TW,image,image,,,0.814,0.712,yes,ADJACENT,NO,LOW,related learning topics; answer role may differ
287,https://funnytools.win/tools/cronbach-alpha-calculator/,https://funnytools.win/tools/standard-deviation/,tool,tool,zh-TW,statistics,statistics,cronbach-alpha-calculator,standard-deviation,0.814,0.677,yes,ADJACENT,NO,LOW,related topic but functional input/computation/output differs
288,https://funnytools.win/tools/image-compressor/,https://funnytools.win/tools/png-to-jpg/,tool,tool,zh-TW,image,image,image-compressor,png-to-jpg,0.814,0.606,yes,ADJACENT,NO,LOW,related topic but functional input/computation/output differs
289,https://funnytools.win/tools/image-crop/,https://funnytools.win/tools/jpg-to-png/,tool,tool,zh-TW,image,image,image-crop,jpg-to-png,0.814,0.642,yes,ADJACENT,NO,LOW,related topic but functional input/computation/output differs
290,https://funnytools.win/tools/images-to-pdf/,https://funnytools.win/tools/pdf-compressor/,tool,tool,zh-TW,pdf,pdf,images-to-pdf,pdf-compressor,0.814,0.611,yes,ADJACENT,NO,LOW,related topic but functional input/computation/output differs
291,https://funnytools.win/category/random/,https://funnytools.win/category/study/,category,category,zh-TW,random,study,,,0.813,0.567,no,ADJACENT,UNKNOWN,LOW,shared hierarchy vocabulary does not prove redundant page role
292,https://funnytools.win/es/como-funcionan-las-herramientas/,https://funnytools.win/es/para/oficina/,legal,audience,es,general,office-workers,,,0.813,0.808,no,UNKNOWN,UNKNOWN,LOW,page roles cannot be deterministically compared
293,https://funnytools.win/es/contacto/,https://funnytools.win/es/para/oficina/,legal,audience,es,general,office-workers,,,0.813,0.810,no,UNKNOWN,UNKNOWN,LOW,page roles cannot be deterministically compared
294,https://funnytools.win/es/guias/prueba-levene-spss/,https://funnytools.win/es/guias/prueba-t-formato-apa-7/,guide,guide,es,statistics,general,,,0.813,0.813,no,DIFFERENT,NO,LOW,different learning topic
295,https://funnytools.win/guides/csv-to-json-header-duplicate-column-guide/,https://funnytools.win/tools/csv-to-json/,guide,tool,zh-TW,text,text,,csv-to-json,0.813,0.737,yes,COMPLEMENTARY,NO,LOW,tool is DO intent; guide is LEARN intent; keep both by default
296,https://funnytools.win/tools/group-generator/,https://funnytools.win/tools/random-student-picker/,tool,tool,zh-TW,study,study,group-generator,random-student-picker,0.813,0.557,yes,ADJACENT,NO,LOW,related topic but functional input/computation/output differs
297,https://funnytools.win/tools/merge-pdf/,https://funnytools.win/tools/split-pdf/,tool,tool,zh-TW,pdf,pdf,merge-pdf,split-pdf,0.813,0.701,yes,DIFFERENT,NO,LOW,document operation outcome differs even when source format overlaps
298,https://funnytools.win/category/text/,https://funnytools.win/tools/sort-lines/,category,tool,zh-TW,text,text,,sort-lines,0.812,0.639,yes,ADJACENT,UNKNOWN,LOW,topic-adjacent pages with different page roles
299,https://funnytools.win/es/categorias/estadistica/,https://funnytools.win/es/flujos/,category,hub,es,statistics,drawing,,,0.812,0.784,no,UNKNOWN,UNKNOWN,LOW,page roles cannot be deterministically compared
300,https://funnytools.win/es/como-funcionan-las-herramientas/,https://funnytools.win/es/contacto/,legal,legal,es,general,general,,,0.812,0.809,yes,ADJACENT,UNKNOWN,LOW,topic-adjacent pages with different page roles
301,https://funnytools.win/guides/classroom-random-group-size-balance-guide/,https://funnytools.win/tools/group-generator/,guide,tool,zh-TW,random,study,,group-generator,0.812,0.670,no,COMPLEMENTARY,NO,LOW,tool is DO intent; guide is LEARN intent; keep both by default
302,https://funnytools.win/guides/qr-code-destination-change-log-guide/,https://funnytools.win/guides/qr-code-event-page-expiry-guide/,guide,guide,zh-TW,general,general,,,0.812,0.728,yes,ADJACENT,NO,LOW,related learning topics; answer role may differ
303,https://funnytools.win/es/categorias/estadistica/,https://funnytools.win/es/guias/prueba-t-formato-apa-7/,category,guide,es,statistics,general,,,0.811,0.799,no,UNKNOWN,UNKNOWN,LOW,page roles cannot be deterministically compared
304,https://funnytools.win/es/categorias/estudio/,https://funnytools.win/es/estadisticas-educativas/,category,other,es,study,statistics,,,0.811,0.796,no,UNKNOWN,UNKNOWN,LOW,page roles cannot be deterministically compared
305,https://funnytools.win/es/categorias/pdf/,https://funnytools.win/es/herramientas/eliminar-paginas-pdf/,category,tool,es,pdf,pdf,,delete-pdf-pages,0.811,0.805,yes,ADJACENT,UNKNOWN,LOW,topic-adjacent pages with different page roles
306,https://funnytools.win/es/flujos/informe-estadistico-investigacion/,https://funnytools.win/es/herramientas/generador-informe-apa-7/,workflow,tool,es,statistics,statistics,,apa-7-report-generator,0.811,0.809,yes,ADJACENT,UNKNOWN,LOW,topic-adjacent pages with different page roles
307,https://funnytools.win/es/guias/anova-formato-apa-7/,https://funnytools.win/es/herramientas/generador-informe-apa-7/,guide,tool,es,statistics,statistics,,apa-7-report-generator,0.811,0.808,yes,COMPLEMENTARY,NO,LOW,tool is DO intent; guide is LEARN intent; keep both by default
308,https://funnytools.win/es/herramientas/selector-aleatorio-alumnos/,https://funnytools.win/es/herramientas/sorteo-nombres-aleatorio/,tool,tool,es,study,random,random-student-picker,random-name-picker,0.811,0.816,no,DIFFERENT,NO,LOW,different functional category
309,https://funnytools.win/guides/image-resize-aspect-ratio-guide/,https://funnytools.win/tools/image-crop/,guide,tool,zh-TW,image,image,,image-crop,0.811,0.689,yes,COMPLEMENTARY,NO,LOW,tool is DO intent; guide is LEARN intent; keep both by default
310,https://funnytools.win/tools/bulk-image-compressor/,https://funnytools.win/tools/image-resizer/,tool,tool,zh-TW,image,image,bulk-image-compressor,image-resizer,0.811,0.676,yes,ADJACENT,NO,LOW,related topic but functional input/computation/output differs
311,https://funnytools.win/tools/images-to-pdf/,https://funnytools.win/tools/jpg-to-webp/,tool,tool,zh-TW,pdf,image,images-to-pdf,jpg-to-webp,0.811,0.742,no,DIFFERENT,NO,LOW,directional converter inputs/outputs differ
312,https://funnytools.win/en/guides/classroom-random-group-guide/,https://funnytools.win/en/guides/fair-student-grouping-guide/,guide,guide,en,random,random,,,0.810,0.727,yes,ADJACENT,NO,LOW,related learning topics; answer role may differ
313,https://funnytools.win/en/tools/normalized-score-converter/,https://funnytools.win/en/tools/z-score-calculator/,tool,tool,en,statistics,statistics,normalized-score-converter,z-score-calculator,0.810,0.626,yes,ADJACENT,NO,LOW,related topic but functional input/computation/output differs
314,https://funnytools.win/es/flujos/,https://funnytools.win/es/para/creadores/,hub,audience,es,drawing,creators,,,0.810,0.781,no,UNKNOWN,UNKNOWN,LOW,page roles cannot be deterministically compared
315,https://funnytools.win/es/flujos/informe-estadistico-investigacion/,https://funnytools.win/es/guias/,workflow,hub,es,statistics,general,,,0.810,0.795,no,UNKNOWN,UNKNOWN,LOW,page roles cannot be deterministically compared
316,https://funnytools.win/es/guias/unir-pdf-sin-subir-archivos/,https://funnytools.win/es/sobre-funnytools/,guide,legal,es,pdf,general,,,0.810,0.800,no,UNKNOWN,UNKNOWN,LOW,page roles cannot be deterministically compared
317,https://funnytools.win/fr/outils/generateur-groupes-aleatoires/,https://funnytools.win/fr/outils/tirage-au-sort-noms/,tool,tool,fr,random,random,random-group-generator,random-name-picker,0.810,0.818,yes,ADJACENT,NO,LOW,related topic but functional input/computation/output differs
318,https://funnytools.win/guides/pdf-to-image-multipage-download-guide/,https://funnytools.win/tools/pdf-page-reorder/,guide,tool,zh-TW,pdf,pdf,,pdf-page-reorder,0.810,0.716,yes,COMPLEMENTARY,NO,LOW,tool is DO intent; guide is LEARN intent; keep both by default
319,https://funnytools.win/guides/t-score-calculator-guide/,https://funnytools.win/tools/standard-deviation/,guide,tool,zh-TW,statistics,statistics,,standard-deviation,0.810,0.690,yes,COMPLEMENTARY,NO,LOW,tool is DO intent; guide is LEARN intent; keep both by default
320,https://funnytools.win/es/aviso-legal/,https://funnytools.win/es/para/creadores/,other,audience,es,general,creators,,,0.809,0.786,no,UNKNOWN,UNKNOWN,LOW,page roles cannot be deterministically compared
321,https://funnytools.win/es/aviso-legal/,https://funnytools.win/es/privacidad/,other,legal,es,general,general,,,0.809,0.801,yes,ADJACENT,UNKNOWN,LOW,topic-adjacent pages with different page roles
322,https://funnytools.win/es/guias/grupos-aleatorios-clase/,https://funnytools.win/es/herramientas/crear-grupos-clase/,guide,tool,es,random,study,,group-generator,0.809,0.803,no,COMPLEMENTARY,NO,LOW,tool is DO intent; guide is LEARN intent; keep both by default
323,https://funnytools.win/es/para/creadores/,https://funnytools.win/es/sobre-funnytools/,audience,legal,es,creators,general,,,0.809,0.785,no,UNKNOWN,UNKNOWN,LOW,page roles cannot be deterministically compared
324,https://funnytools.win/fr/fonctionnement-outils/,https://funnytools.win/fr/outils/reorganiser-pages-pdf/,legal,tool,fr,general,pdf,,pdf-page-reorder,0.809,0.810,no,UNKNOWN,UNKNOWN,LOW,page roles cannot be deterministically compared
325,https://funnytools.win/guides/pdf-to-image-multipage-download-guide/,https://funnytools.win/tools/pdf-to-image/,guide,tool,zh-TW,pdf,pdf,,pdf-to-image,0.809,0.682,yes,COMPLEMENTARY,NO,LOW,tool is DO intent; guide is LEARN intent; keep both by default
326,https://funnytools.win/guides/percentile-rank-guide/,https://funnytools.win/workflows/teacher-exam-score-toolkit/,guide,workflow,zh-TW,statistics,statistics,,,0.809,0.620,yes,ADJACENT,UNKNOWN,LOW,topic-adjacent pages with different page roles
327,https://funnytools.win/tools/image-compressor/,https://funnytools.win/tools/webp-to-jpg/,tool,tool,zh-TW,image,image,image-compressor,webp-to-jpg,0.809,0.598,yes,ADJACENT,NO,LOW,related topic but functional input/computation/output differs
328,https://funnytools.win/category/text/,https://funnytools.win/tools/word-counter/,category,tool,zh-TW,text,text,,word-counter,0.808,0.633,yes,ADJACENT,UNKNOWN,LOW,topic-adjacent pages with different page roles
329,https://funnytools.win/es/categorias/texto/,https://funnytools.win/es/para/oficina/,category,audience,es,text,office-workers,,,0.808,0.795,no,UNKNOWN,UNKNOWN,LOW,page roles cannot be deterministically compared
330,https://funnytools.win/es/guias/,https://funnytools.win/es/para/creadores/,hub,audience,es,general,creators,,,0.808,0.781,no,UNKNOWN,UNKNOWN,LOW,page roles cannot be deterministically compared
331,https://funnytools.win/fr/outils/diviser-pdf/,https://funnytools.win/fr/outils/reorganiser-pages-pdf/,tool,tool,fr,pdf,pdf,split-pdf,pdf-page-reorder,0.808,0.804,yes,DIFFERENT,NO,LOW,document operation outcome differs even when source format overlaps
332,https://funnytools.win/tools/grade-average/,https://funnytools.win/workflows/teacher-exam-score-toolkit/,tool,workflow,zh-TW,statistics,statistics,grade-average,,0.808,0.748,yes,ADJACENT,UNKNOWN,LOW,topic-adjacent pages with different page roles
333,https://funnytools.win/en/category/statistics/,https://funnytools.win/en/education-statistics/,category,other,en,statistics,statistics,,,0.807,0.561,yes,ADJACENT,UNKNOWN,LOW,topic-adjacent pages with different page roles
334,https://funnytools.win/en/tools/jpg-to-png/,https://funnytools.win/en/tools/jpg-to-webp/,tool,tool,en,image,image,jpg-to-png,jpg-to-webp,0.807,0.678,yes,DIFFERENT,NO,LOW,directional converter inputs/outputs differ
335,https://funnytools.win/for/designers/,https://funnytools.win/tools/image-compressor/,audience,tool,zh-TW,designers,image,,image-compressor,0.807,0.643,no,UNKNOWN,UNKNOWN,LOW,page roles cannot be deterministically compared
336,https://funnytools.win/for/teachers/,https://funnytools.win/tools/group-generator/,audience,tool,zh-TW,teachers,study,,group-generator,0.807,0.651,no,UNKNOWN,UNKNOWN,LOW,page roles cannot be deterministically compared
337,https://funnytools.win/fr/outils/diviser-pdf/,https://funnytools.win/fr/outils/extraire-pages-pdf/,tool,tool,fr,pdf,pdf,split-pdf,extract-pdf-pages,0.807,0.795,yes,DIFFERENT,NO,LOW,document operation outcome differs even when source format overlaps
338,https://funnytools.win/guides/classroom-random-group-no-repeat-guide/,https://funnytools.win/tools/group-generator/,guide,tool,zh-TW,random,study,,group-generator,0.807,0.646,no,COMPLEMENTARY,NO,LOW,tool is DO intent; guide is LEARN intent; keep both by default
339,https://funnytools.win/guides/qr-code-mobile-landing-page-guide/,https://funnytools.win/guides/qr-code-multilingual-switch-testing-guide/,guide,guide,zh-TW,general,general,,,0.807,0.747,yes,ADJACENT,NO,LOW,related learning topics; answer role may differ
340,https://funnytools.win/en/tools/z-score-calculator/,https://funnytools.win/en/workflows/teacher-exam-score-toolkit/,tool,workflow,en,statistics,statistics,z-score-calculator,,0.806,0.645,yes,ADJACENT,UNKNOWN,LOW,topic-adjacent pages with different page roles
341,https://funnytools.win/es/categorias/estudio/,https://funnytools.win/es/como-funcionan-las-herramientas/,category,legal,es,study,general,,,0.806,0.806,no,UNKNOWN,UNKNOWN,LOW,page roles cannot be deterministically compared
342,https://funnytools.win/es/flujos/decisiones-cotidianas/,https://funnytools.win/es/herramientas/decidir-entre-dos-opciones/,workflow,tool,es,general,random,,this-or-that,0.806,0.802,no,UNKNOWN,UNKNOWN,LOW,page roles cannot be deterministically compared
343,https://funnytools.win/for/designers/,https://funnytools.win/tools/jpg-to-webp/,audience,tool,zh-TW,designers,image,,jpg-to-webp,0.806,0.640,no,UNKNOWN,UNKNOWN,LOW,page roles cannot be deterministically compared
344,https://funnytools.win/guides/t-score-calculator-guide/,https://funnytools.win/tools/normalized-score-converter/,guide,tool,zh-TW,statistics,statistics,,normalized-score-converter,0.806,0.728,yes,COMPLEMENTARY,NO,LOW,tool is DO intent; guide is LEARN intent; keep both by default
345,https://funnytools.win/tools/break-reminder/,https://funnytools.win/tools/pomodoro-timer/,tool,tool,zh-TW,time,time,break-reminder,pomodoro-timer,0.806,0.654,yes,ADJACENT,NO,LOW,related topic but functional input/computation/output differs
346,https://funnytools.win/tools/csv-to-json/,https://funnytools.win/tools/json-formatter/,tool,tool,zh-TW,text,text,csv-to-json,json-formatter,0.806,0.609,yes,ADJACENT,NO,LOW,related topic but functional input/computation/output differs
347,https://funnytools.win/tools/extract-pdf-pages/,https://funnytools.win/tools/rotate-pdf/,tool,tool,zh-TW,pdf,pdf,extract-pdf-pages,rotate-pdf,0.806,0.656,yes,DIFFERENT,NO,LOW,document operation outcome differs even when source format overlaps
348,https://funnytools.win/category/image/,https://funnytools.win/for/designers/,category,audience,zh-TW,image,designers,,,0.805,0.610,no,UNKNOWN,UNKNOWN,LOW,page roles cannot be deterministically compared
349,https://funnytools.win/es/categorias/azar/,https://funnytools.win/es/sobre-funnytools/,category,legal,es,random,general,,,0.805,0.797,no,UNKNOWN,UNKNOWN,LOW,page roles cannot be deterministically compared
350,https://funnytools.win/es/categorias/estadistica/,https://funnytools.win/es/sobre-funnytools/,category,legal,es,statistics,general,,,0.805,0.794,no,UNKNOWN,UNKNOWN,LOW,page roles cannot be deterministically compared
351,https://funnytools.win/es/categorias/estudio/,https://funnytools.win/es/para/creadores/,category,audience,es,study,creators,,,0.805,0.779,no,UNKNOWN,UNKNOWN,LOW,page roles cannot be deterministically compared
352,https://funnytools.win/es/condiciones-de-uso/,https://funnytools.win/es/para/oficina/,legal,audience,es,general,office-workers,,,0.805,0.795,no,UNKNOWN,UNKNOWN,LOW,page roles cannot be deterministically compared
353,https://funnytools.win/es/herramientas/generador-grupos-aleatorios/,https://funnytools.win/es/herramientas/sorteo-nombres-aleatorio/,tool,tool,es,random,random,random-group-generator,random-name-picker,0.805,0.815,yes,ADJACENT,NO,LOW,related topic but functional input/computation/output differs
354,https://funnytools.win/fr/fonctionnement-outils/,https://funnytools.win/fr/outils/generateur-nombres-aleatoires/,legal,tool,fr,general,random,,random-number-picker,0.805,0.809,no,UNKNOWN,UNKNOWN,LOW,page roles cannot be deterministically compared
355,https://funnytools.win/guides/image-compression-quality-size-guide/,https://funnytools.win/tools/image-compressor/,guide,tool,zh-TW,image,image,,image-compressor,0.805,0.699,yes,COMPLEMENTARY,NO,LOW,tool is DO intent; guide is LEARN intent; keep both by default
